X,Y,LICENSE,APPLICANT,TRADE_NAME,CLASS,ADDRESS,ZIPCODE,WARD,ANC,SMD,STATUS,TYPE,BREW_PUB,ENTERTAINMENT,SALES_CONSUMPTION,SIDEWALK_CAFE,SUMMER_GARDEN,TASTING,WINE_PUB,COVERCHARGE,DANCING,OFFPREMISESTORAGE,STORAGEFACILITY,DISTILLERY_PUB,TOTAL_CAPACITY,GAMES_OF_SKILL,SPORTS_WAGGERING,CARRYOUT_DELIVERY,STREATERY,EXPIRATION_DATE,CO_CAPACITY,XCOORD,YCOORD,LONGITUDE,LATITUDE,MAR_ID,GIS_ID,GLOBALID,CREATED,EDITED,SHAPE,OBJECTID
-8576447.86339929,4710523.05591279,ABRA-007053,The Billiken Corp,Perry's Restaurant,C,1811 COLUMBIA ROAD NW,20009,Ward 1,ANC 1C,SMD 1C03,Active,Restaurant,,CHECKED,,,CHECKED,,,,,,,,173,,,CHECKED,,2025/03/31 04:00:00+00,173,396224.37,139361.61,-77.04353969,38.92211949,235375,ABCALicenseePt_19670,{620F1B52-8CB4-478A-987A-7418C25EC374},2024/08/05 23:21:02+00,2025/02/28 21:54:16+00,,19670
-8578373.55124328,4708017.5074494,ABRA-008004,Melben Inc.,Flavio,C,1069 31ST STREET NW,20007,Ward 2,ANC 2E,SMD 2E05,Active,Restaurant,,CHECKED,,CHECKED,,,,CHECKED,CHECKED,,,,450,,,,,2025/03/31 04:00:00+00,450,394722.98,137418.36,-77.0608384369216,38.9046059726872,307837,ABCALicenseePt_19671,{51585D44-712D-4987-9E91-6E1B03AA7FD3},2024/08/05 23:21:02+00,2025/02/28 21:54:16+00,,19671
-8576621.20263466,4709218.09762037,ABRA-011228,R Street Restaurant Corporation,La Tomate,C,1701 CONNECTICUT AVENUE NW,20009,Ward 2,ANC 2B,SMD 2B01,Active,Restaurant,,CHECKED,,CHECKED,,,,,,,,,105,,,CHECKED,,2025/03/31 04:00:00+00,105,396088.84,138349.19,-77.04509683,38.91299868,243323,ABCALicenseePt_19672,{28B910EC-4704-4EA8-B4A7-1D8E4D1F6DB4},2024/08/05 23:21:02+00,2025/02/28 21:54:16+00,,19672
-8579983.85201545,4709077.23730604,ABRA-012331,President & Director of Georgetown College,Leavey Center,C,3800 RESERVOIR ROAD NW,20007,Ward 2,ANC 2E,SMD 2E01,Active,Restaurant,,,,,,,,,,,,,290,,,,,2025/03/31 04:00:00+00,290,393468.94,138241.62,-77.07530401,38.91201376,291547,ABCALicenseePt_19673,{DF0197E4-EA11-45DE-9603-A926A920C6D4},2024/08/05 23:21:02+00,2025/02/28 21:54:16+00,,19673
-8571779.66748977,4696277.02029388,ABRA-016866,"4652 Livingston, Inc.",South Capitol Liquors,A,4652 LIVINGSTON ROAD SE,20032,Ward 8,ANC 8E,SMD 8E09,Active,Retail - Liquor Store,,,,,,CHECKED,,,,,,,,,,,,2027/03/31 04:00:00+00,,399860.66,128300.6,-77.00160459,38.82248557,276657,ABCALicenseePt_19674,{BFB36220-2E18-4EC1-8BD3-88D9A29EA404},2024/08/05 23:21:02+00,2025/02/28 21:54:16+00,,19674
-8576443.49676425,4710356.5272934,ABRA-017199,"Brasil, Inc.",The Grill From Ipanema,C,1858 COLUMBIA ROAD NW,20009,Ward 1,ANC 1C,SMD 1C03,Active,Restaurant,,CHECKED,,CHECKED,,,,,,,,,146,,,,,2025/03/31 04:00:00+00,146,396227.71,139232.41,-77.04350047,38.92095563,276265,ABCALicenseePt_19675,{E3AD9926-1506-4CBD-8F7A-C063E5E123EF},2024/08/05 23:21:02+00,2025/02/28 21:54:16+00,,19675
-8575037.17782027,4708000.07983468,ABRA-060411,Carriage House LLC,Green Lantern/Tool Shed,C,1335 GREEN COURT NW,20005,Ward 2,ANC 2C,SMD 2C02,Active,Nightclub,,,,,,,,,,,,,125,,,CHECKED,,2025/09/30 04:00:00+00,125,397322.62,137403.53,-77.03086729,38.90448448,279092,ABCALicenseePt_19676,{5B9ACC9D-A253-44E8-B025-F5DFE4AED016},2024/08/05 23:21:02+00,2025/02/28 21:54:16+00,,19676
-8575129.35524319,4706861.55348297,ABRA-076197,"Lim Enterprises, Corp",Press Liquors,A,527 14TH STREET NW,20004,Ward 2,ANC 2C,SMD 2C03,Active,Retail - Liquor Store,,,,,,,,,,,,,,,,,,2027/03/31 04:00:00+00,,397250.49,136519.99,-77.03169534,38.89652501,295084,ABCALicenseePt_19677,{6AD596FE-7877-4136-88F3-CB548422A9FE},2024/08/05 23:21:02+00,2025/02/28 21:54:16+00,,19677
-8576329.36146848,4708772.62487643,ABRA-103525,"Saul Urban Host, LLC",Saul Urban Host,C,15 DUPONT CIRCLE NW,20036,Ward 2,ANC 2B,SMD 2B07,Active,Tavern,,,,,,,,,,,,,48,,,CHECKED,,2025/09/30 04:00:00+00,48,396316.05,138003.42,-77.04247517,38.90988485,225555,ABCALicenseePt_19679,{ABD53B47-6109-49F0-9212-34DA7F1EB3CF},2024/08/05 23:21:02+00,2025/02/28 21:54:16+00,,19679
-8575495.73511739,4707934.73495647,ABRA-112211,"Midtown Center Restaurant, LLC",Dauphine's,C,1100 15TH STREET NW,20005,Ward 2,ANC 2C,SMD 2C02,Active,Restaurant,,CHECKED,,,CHECKED,,,,,,,,379,,,CHECKED,,2025/03/31 04:00:00+00,328,396965.3,137352.95,-77.03498658,38.90402734,278811,ABCALicenseePt_19680,{8226A2E3-AF68-440E-AF95-44AF742442E9},2024/08/05 23:21:02+00,2025/02/28 21:54:16+00,,19680
-8574356.21516807,4708307.57985044,ABRA-114552,"Causa, LLC",Causa,C,920 REAR N STREET NW,20001,Ward 2,ANC 2G,SMD 2G04,Active,Restaurant,,CHECKED,,,CHECKED,,,,,,,,200,,,,,2025/03/31 04:00:00+00,200,397853.28,137641.99,-77.0247501,38.90663406,312195,ABCALicenseePt_19681,{EFEDDD49-BE84-449F-9D2A-B9449AE912EB},2024/08/05 23:21:02+00,2025/02/28 21:54:16+00,,19681
-8580505.89261422,4714524.0599319,ABRA-117245,"Dancing Crab, LLC",TBD,C,4611 41ST STREET NW,20016,Ward 3,ANC 3E,SMD 3E05,Safekeeping,Restaurant,,CHECKED,,CHECKED,CHECKED,,,CHECKED,,,,,274,,,,,2022/03/31 04:00:00+00,274,393065.92,142467.23,-77.0799935766164,38.9500762468243,284944,ABCALicenseePt_19682,{8C9145F9-C4A2-4C41-9D42-67A974702747},2024/08/05 23:21:02+00,2025/02/28 21:54:16+00,,19682
-8580144.61892776,4716842.1214278,ABRA-120238,"Belleva, LLC",Wine and Organic,B,5714 CONNECTICUT AVENUE NW,20015,Ward 3,ANC 3/4G,SMD 3/4G06,Active,Beer and Wine,,,,,,CHECKED,,,,,,,,,,,,2026/09/30 04:00:00+00,,393348.75,144264.5,-77.0767482,38.96626904,285262,ABCALicenseePt_19683,{327903AC-A52F-4013-8407-390CC39F3889},2024/08/05 23:21:02+00,2025/02/28 21:54:16+00,,19683
,,ABRA-084620,Ron Hunt,Heat,C,0 No Location,,,,,Safekeeping,Night Club,,,,,,,,,,,,,,,,,,,,,,,,,ABCALicenseePt_20161,{7D0E102D-EBFB-43E1-A442-DED1C73501FF},2025/02/28 21:08:53+00,2025/02/28 21:54:16+00,,20161
-8571847.00818834,4706957.44987435,ABRA-098204,"UK 3rd, LLC",Union Kitchen,B,538 3RD STREET NE,20002,Ward 6,ANC 6C,SMD 6C04,Active,Retail - Full Service Grocery,,,,,,CHECKED,,,,,,,,,,,,2026/09/30 04:00:00+00,,399808.33,136593.94,-77.00220952,38.89719546,9536,ABCALicenseePt_20481,{9A44947F-E4FF-4054-B705-865C09C16082},2025/02/28 21:50:13+00,2025/02/28 21:54:16+00,,20481
-8571082.55362725,4704727.18305451,ABRA-086529,"Good Food, LLC",Lavagna,C,539 8TH STREET SE,20003,Ward 6,ANC 6B,SMD 6B03,About to Expire,Restaurant,,,,CHECKED,,,,,,,,,100,,,CHECKED,,2025/03/31 04:00:00+00,100,400404.13,134862.86,-76.99534231,38.88160117,9343,ABCALicenseePt_20482,{1D21906A-F04F-498B-BDBF-D2265ACBC219},2025/02/28 21:50:13+00,2025/02/28 21:54:16+00,,20482
