X,Y,NAME,ADDRESS,LICENSE_NUMBER,LICENSE_TYPE,LICENSE_ISSUE_DATE,LICENSE_EXPIRATION_DATE,WARD,ZIPCODE,CONTACT_TYPE,EMAIL,PHONE,FAX_NUMBER,START_TIME,END_TIME,POINT_OF_CONTACT,OTHER_CONTACT_DESCRIPTION,C_O_HO_PERMIT_ISSUED_DATE,FIRE_INSPECTION_DATE,NUMBER_OF_INFANTS,NUMBER_OF_PRESCHOOL_CHILDREN,NUMBER_OF_TODDLERS,NUM_OF_SCHOOL_AGE_CHILDREN,AUTHORIZED_CAPACITY,INSPECTOR_ASSIGNED,LATITUDE,LONGITUDE,XCOORD,YCOORD,MAR_MATCHADDRESS,MARID,OBJECTID
-8570415.78952222,4710460.20284775,Israel Baptist Church CDC,"1251 Saratoga AVE, NE ",CDC-908823,Full License,2024/01/26 05:00:00+00,2026/10/31 04:00:00+00,5,20018,Center Director,imi.icdcadm@gmail.com,(202) 269-5090,,,,Keysha Nelson,,2005/03/17 04:00:00+00,2023/09/27 04:00:00+00,8,21,24,44,97,jazmin.hunt@dc.gov,38.92168021,-76.98935267,400923.31,139312,1251 SARATOGA AVENUE NE,69666,136926
-8578835.66003323,4708428.65673969,St. John's Episcopal Preschool,"3240  O ST, NW ",CDC-908830,Full License,2023/11/03 04:00:00+00,2026/10/31 04:00:00+00,2,20007,Center Director,mmcsherry@stjohnsdc.org,(202) 338-2574,,,,Emily McSherry,,2007/03/02 05:00:00+00,2024/06/20 04:00:00+00,0,30,15,0,45,candia.faison@dc.gov,38.90748044,-77.06498963,394363.14,137737.66,3240 O STREET NW,272132,136927
-8579514.20684387,4708578.55251925,Georgetown University Hoya Kids,"3624  P ST, NW ",CDC-908900,Full License,2024/07/01 04:00:00+00,2027/07/31 04:00:00+00,2,20007,Center Director,hoyakids@georgetown.edu,(202) 687-7667,,,,Jane Banister,,1997/09/04 04:00:00+00,2024/09/19 04:00:00+00,0,42,18,0,60,Zulieka.Crawford@dc.gov,38.90852825,-77.07108512,393834.54,137854.37,3624 P STREET NW,302550,136928
-8570680.90712774,4699276.5610034,Tucker's Child Development Center I,"3215 11th PL, SE ",CDC-908958,Full License,2024/09/24 04:00:00+00,2026/12/31 05:00:00+00,8,20032,Owner/Director,berthatucker1@comcast.net,(202) 562-0703,,,,Bertha Tucker,,2008/11/06 05:00:00+00,2024/01/04 05:00:00+00,6,16,18,15,55,candia.faison@dc.gov,38.84347503,-76.99173426,400717.57,130630.64,3215 11TH PLACE SE,38378,140001
-8574964.21599204,4706634.8381359,Triangle Tots Child Development Center/Bright Horizons,"1300 Pennsylvania AVE, NW ",CDC-908998,Full License,2024/04/26 04:00:00+00,2027/03/31 04:00:00+00,2,20004,Center Director,triangletots@brighthorizons.com,(202) 565-3018,,,,Briauna Teasley,,,2024/10/23 04:00:00+00,24,30,52,14,120,kimberly.handon-lindsey@dc.gov,38.89493993,-77.03021187,397379.12,136343.99,1300 PENNSYLVANIA AVENUE NW,293198,140002
-8570149.18042651,4698171.26991443,Kids Are Us Learning Center,"1236  Southern AVE, SE ",CDC-909072,Full License,2024/10/24 04:00:00+00,2026/10/31 04:00:00+00,8,20032,Owner/Director,Lynitakaulc@aol.com,(202) 561-0290,,,,Lynita Law-Reid,,2004/10/25 04:00:00+00,2024/07/15 04:00:00+00,8,32,20,0,60,Makia.Tabourn@dc.gov,38.83574129,-76.98695768,401132.36,129772.19,1236 SOUTHERN AVENUE SE,289853,140003
-8563616.41702769,4708074.40697982,Community Educational Research Group,"1105  50th ST, NE ",CDC-909087,Restricted,2025/02/18 05:00:00+00,2025/05/18 04:00:00+00,7,20019,Owner/Director,cerg_antioch@commresh.com,(202) 397-8754,,,,Valerie Moore-Credit,,2010/03/02 05:00:00+00,2023/08/14 04:00:00+00,0,40,20,40,100,ronica.milledge1@dc.gov,38.90500406,-76.92827289,406221.45,137463.2,1105 50TH STREET NE,74277,140004
-8575330.14279297,4712824.39107785,Growing Seeds Child Development Center,"3800 14th ST, NW ",CDC-909093,Full License,2024/02/21 05:00:00+00,2026/12/31 05:00:00+00,4,20011,Center Director,GROWINGS50@HOTMAIL.COM,(202) 726-5208,,,,Nicki Sanders,,2020/02/07 05:00:00+00,2024/03/13 04:00:00+00,8,10,22,10,50,stephanie.tindal@dc.gov,38.93820146,-77.03349904,397095.72,141146.48,3800 14TH STREET NW,259018,140005
-8579688.39612329,4715847.88391349,Montessori School Of Chevy Chase,"5312  Connecticut AVE, NW ",CDC-909135,Full License,2024/04/12 04:00:00+00,2027/03/31 04:00:00+00,3,20015,Center Director,info@chevychasemontessori.com,(202) 362-6212,,,,Marlene Cherry,,2004/08/13 04:00:00+00,2024/02/07 05:00:00+00,0,42,16,0,58,yesset.makonnen@dc.gov,38.9593244,-77.07264988,393703.31,143493.29,5312 CONNECTICUT AVENUE NW,301282,140006
-8574656.60577467,4716592.20967367,Bridges Babies,"6127 Georgia AVE, NW ",CDC-909152,Full License,2024/07/11 04:00:00+00,2026/11/30 05:00:00+00,4,20011,Owner/Director,bridgesacademydc@gmail.com,(202) 829-1901,,,,C. Lillette Campbell,,2000/06/22 04:00:00+00,2024/03/27 04:00:00+00,12,0,16,0,28,kanell.johnson@dc.gov,38.96452349,-77.02744855,397621.16,144068.29,6127 GEORGIA AVENUE NW,276394,140007
