NAME,ADDRESS,USE_TYPE,PROPID,ACTIVE,DIAMOND60,DIAMOND90,BBCOURT,FBFIELD,SOCCERJR,SOCCERREG,TENNISCT,VOLLEYB,SKATEPARK,WOODLAND,VSTRSHCAN,DMPSTR,PICNIC,PLYGRD,TOTLOT,INSWIM,OUTSWIM,SPRAYPARK,UTILBX,TRAFPOLE,UTILPOLE,BUSSTP,LOCK_,NMZ,DRINKFOUNT,BENCHES,ATHLIGHT,LNDSCPBED,TOTIMPV,SIGNS,TURFONLY,FENCE,TOPO,COMMGAR,WARD,AREA_,ZONE_,PARKPARTN,RES_NUM,ADJ_SCHOOL_SITE,SSL,COMMENTS,DATE_ACQUIRED,SE_ANNO_CAD_DATA,GLOBALID,CREATED,EDITED,OBJECTID,SHAPEAREA,SHAPELEN
Plymouth Circle,"Plymouth St. & Parkside Ln., NW",CIRCLE,DPR_0616,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,09,,0616,none,RES 06160000,TOJ for Comp Plan,,,{0304E325-2A15-4BF8-AB08-2D12BCE51D32},,,1,0,0
Triangle Park RES 0566,"Plymouth Street at Sudbury Lane, NW",MEDIAN,DPR_0566,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,09,,0566,none,RES 5660000,TOJ for Comp Plan,,,{1B70BAF1-D84D-44E3-8ABE-D27CBD3B8CB7},,,2,0,0
Shepherd Field,7800 14TH STREET NW,REC CENTER GROUNDS,DPR_0437,Y,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,N,4,,09,,0437,Shepherd Elementary School,Multiple Lots,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),1972/11/14 05:00:00+00,,{CE53A23E-FC8A-4CB6-A508-8607D7A205EA},,2024/08/26 22:26:47+00,3,0,0
Marvin Caplan Memorial Park,"Alaska Ave.,13th St.,Holly St.,NW",TRIANGLE,DPR_0340,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,09,,0340,none,RES 03400000,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),1972/12/14 05:00:00+00,,{78998939-A911-464C-B3F0-73ED8E9DD982},,,4,0,0
Pinehurst Circle,"Western Ave and Pinhurst Circle, NW",PARK,DPR_0564,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,4,,01,,0564,none,RES 05640000,TOJ for Comp Plan,1972/12/14 05:00:00+00,,{A452AE1D-FD72-41DD-BE25-D78A4FE0793D},,,5,0,0
Triangle Park 3278    0801,"4th St. and Blair Rd., NW",SMALL PARK,DPR_0032,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,09,,none,none,3278    0801,,,,{D00F7DB1-0E9E-4770-BE5E-511E824B8D0D},,,6,0,0
Fort Stevens,"Luzon Ave., between Van Buren and 13th Sts., NW",REC CENTER GROUNDS,DPR_0631,Y,2,0,3,0,0,1,4,0,N,Y,10,1,7,1,1,0,0,N,,,,Y,,Y,3,20,RpAIR,Nne,Nw,RpLACE,Pr,ChnLnk,MdSlp,N,4,,09,,0631,none,Multiple Lots,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),1926/01/01 05:00:00+00,,{E628B808-71B6-4648-9FE0-B7916122F63E},,,7,0,0
Takoma Community Center,300 VAN BUREN STREET NW,REC CENTER GROUNDS,DPR_0445,Y,3,0,0,0,0,1,6,0,N,Y,0,1,0,0,0,1,0,Y,0,0,0,,,Y,,5,RpLACE,RpLACE,,Nne,Gd,Nne,Flt,N,4,,09,,0445,none,RES 04450000,Subdivision Book 158 Page 11 (TOJ for Recreation Purposes),1971/10/18 04:00:00+00,,{B6D565E3-CAD2-4100-AFE1-B0D2011F666C},,2024/08/26 22:26:47+00,9,0,0
Triangle Park RES 0648,"14th St., between Underwood St. & Luzon Ave., NW",TRIANGLE,DPR_0648,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,09,,0648,none,PAR 00880225,TOJ for Comp Plan,,,{BABBE749-1D2E-42E6-B3B3-A80C7EFB6ED6},,,10,0,0
Lafayette,"Broad Branch Rd., between Quesada and 33rd Sts., NW",REC CENTER GROUNDS,DPR_0473,Y,1,,,,,,2,0,N,N,5,1,8,1,1,0,0,N,,,,N,,N,3,19,Nne,Gd,Nw,RpLACE,Pr,Nne,MdSlp,N,4,,01,,0473,Lafayette Elementary School,2011    0806,"Subdivision 158, Page 37, TOJ to DC for Recreation Purposes",1972/11/14 05:00:00+00,,{36B6FC39-6C5B-4654-9039-52553755234B},,,11,0,0
