X,Y,NAME,ADDRESS,USE_TYPE,WARD_ID,SCHOOL_SITE,POOL,POOL_NAME,WEB_URL,PHONE,STATUS,FITNESS_CENTER,XCOORD,YCOORD,MAR_ID,GIS_ID,OBJECTID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8567442.12439105,4701468.57544793,Hillcrest Recreation Center,3100 DENVER STREET SE,RECREATION CENTER,7,no,none,none,https://dpr.dc.gov/page/hillcrest-recreation-center,(202) 645-9200,Open,Fitness Room,403242.6395625,132333.5734375,296174,RecPt_1,1601,{7D3AC4C3-E78F-4901-B3D7-8933587FE027},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8563944.89515711,4706425.53569214,Kelly Miller Pool,4900 BROOKS STREET NE,POOL,7,no,outdoor,Kelly Miller Pool,https://dpr.dc.gov/page/kelly-miller-pool,(202) 724-5056,Open,No,405966.4706875,136183.3578125,295154,RecPt_2,1602,{1582DF65-EE95-488B-9736-21EC68B021B1},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8579037.47190783,4708803.6923425,Volta Park Recreation Center,1555 34TH STREET NW,RECREATION CENTER,2,no,outdoor,Volta Park Pool,https://dpr.dc.gov/page/volta-park-recreation-center,(202) 645-5668,Open,No,394206.111,138028.79,279236,RecPt_3,1603,{529A6530-EE2F-466A-BF4B-9FB96244814D},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8575788.97124542,4708792.67457973,Stead Recreation Center,1625 P STREET NW,RECREATION CENTER,2,no,none,none,https://dpr.dc.gov/page/stead-recreation-center,(202) 673-4465,Open,No,396737.088,138018.793,295822,RecPt_4,1604,{9B4644D0-8C95-49B0-AD0F-AFB8463952D2},JLAY,2022/08/11 23:34:41+00,JLAY,2024/08/27 17:28:57+00
-8577587.26971952,4708404.79774717,Francis Pool,2435 N STREET NW,POOL,2,no,outdoor,Francis Pool,https://dpr.dc.gov/page/francis-pool,(202) 340-6795,Open,No,395335.814,137718.513,308120,RecPt_5,1605,{7CB4628A-C142-4958-AEDD-9FD52228FAFE},JLAY,2022/08/11 23:34:41+00,JLAY,2024/03/08 00:56:57+00
-8574579.50041496,4703728.21425679,East Potomac Pool,972 OHIO DRIVE SW,POOL,6,no,outdoor,East Potomac Pool,https://dpr.dc.gov/page/east-potomac-pool,(202) 727-6523,Closed,No,397678.2634375,134087.6891875,301729,RecPt_6,1606,{03DFF751-BE92-417F-81D9-70159DBCA45E},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8579040.89633306,4709606.44949132,Jelleff Community Center,3265 S STREET NW,RECREATION CENTER,2,,outdoor,Jelleff Pool,https://dpr.dc.gov/page/jelleff-community-center,(202) 462-1317,Open,No,394203.8989375,138651.672375,273636,RecPt_7,1607,{1BB053C6-DD13-4CCD-91F4-88B422EC453F},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8579040.146766,4709606.522217,Jelleff Pool,3265 S STREET NW,POOL,2,,outdoor,Jelleff Pool,https://dpr.dc.gov/page/jelleff-pool,(202) 462-1317,Open,No,394204.4825,138651.728125,273636,RecPt_8,1608,{99BD1B7D-E41B-4FDF-9197-4B7E9B7E2053},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8579037.47190783,4708803.6923425,Volta Park Pool,1555 34TH STREET NW,POOL,2,no,outdoor,Volta Park Pool,https://dpr.dc.gov/page/volta-park-pool,(202) 645-5669,Open,No,394206.111,138028.79,279236,RecPt_9,1609,{5E3D8357-B965-484F-9A02-CA0F5A50DACA},JLAY,2022/08/11 23:34:41+00,JLAY,2022/08/11 23:34:41+00
-8577166.29205472,4709442.33539897,Mitchell Park Recreation Center,1801 23RD STREET NW,RECREATION CENTER,2,no,none,none,https://dpr.dc.gov/page/mitchell-park-recreation-center-0,(202) 674-6641,Open,No,395663.99,138523.68,279395,RecPt_10,1610,{8566BC36-3BE0-4A35-B67C-C981AA218F62},JLAY,2022/08/11 23:34:41+00,JLAY,2024/08/27 17:28:57+00
