X,Y,NAME,WEB_URL,LINE,ADDRESS,TRAININFO_URL,GIS_ID,SE_ANNO_CAD_DATA,OBJECTID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8573624.46663514,4718246.72360472,Takoma,https://www.wmata.com/rider-guide/stations/takoma.cfm,red,327 CEDAR STREET NW,https://www.wmata.com/js/nexttrain/nexttrain.html#B07|Takoma,MetroStnPt_1,,1,{1F070C50-53DD-445E-951B-35A72BF2171F},,,,
-8581062.73773061,4715870.76174934,Friendship Heights,https://www.wmata.com/rider-guide/stations/friendship-hghts.cfm,red,5337 WISCONSIN AVENUE NW,https://www.wmata.com/js/nexttrain/nexttrain.html#A08|Friendship Heights,MetroStnPt_2,,2,{43309EBD-1FA3-46DC-B31A-5799591379ED},,,,
-8571846.29045981,4714777.49664398,Fort Totten,https://www.wmata.com/rider-guide/stations/fort-totten.cfm,"red, green",550 GALLOWAY STREET NE,"https://www.wmata.com/js/nexttrain/nexttrain.html#B06,E06|Fort Totten",MetroStnPt_3,,3,{696855C6-880C-440F-A222-7A98C474CBCC},,,JLAY,2024/03/19 19:36:11+00
-8580460.66828588,4714348.74113695,Tenleytown-AU,https://www.wmata.com/rider-guide/stations/tenleytown.cfm,red,4501 WISCONSIN AVENUE NW,https://www.wmata.com/js/nexttrain/nexttrain.html#A07|Tenleytown-AU,MetroStnPt_4,,4,{01C225E8-B1EA-4097-AB9E-B5C405DEE54D},,,,
-8578612.63666281,4713549.18258664,Van Ness-UDC,https://www.wmata.com/rider-guide/stations/van-ness.cfm,red,4200 CONNECTICUT AVENUE NW,https://www.wmata.com/js/nexttrain/nexttrain.html#A06|Van%20Ness-UDC,MetroStnPt_5,,5,{83724B1F-71C7-4234-832F-F750D05A1924},,,,
-8574212.70160628,4712714.69385198,Georgia Ave Petworth,https://www.wmata.com/rider-guide/stations/georgia-ave.cfm,green,3700 GEORGIA AVENUE NW,https://www.wmata.com/js/nexttrain/nexttrain.html#E05|Georgia Ave-Petworth,MetroStnPt_6,,6,{E2DB381A-6775-4E8A-96AD-3DCF0DEBEFD8},,,JLAY,2024/03/19 19:36:11+00
-8578062.3105654,4712332.33489848,Cleveland Park,https://www.wmata.com/rider-guide/stations/cleveland-park.cfm,red,3599 CONNECTICUT AVENUE NW,https://www.wmata.com/js/nexttrain/nexttrain.html#A05|Cleveland Park,MetroStnPt_7,,7,{03112CEC-68C9-445F-90A2-EF4D4C04BB98},,,,
-8570992.60407922,4712110.24594685,Brookland-CUA,https://www.wmata.com/rider-guide/stations/brookland.cfm,red,801 MICHIGAN AVENUE NE,https://www.wmata.com/js/nexttrain/nexttrain.html#B05|Brookland-CUA,MetroStnPt_8,,8,{59E4D2D2-0CB8-4BC1-9C0B-BF4E1E253A94},,,,
-8575224.73112821,4711341.360365,Columbia Heights,https://www.wmata.com/rider-guide/stations/columbia-hghts.cfm,green,3030 14TH STREET NW,https://www.wmata.com/js/nexttrain/nexttrain.html#E04|Columbia Heights,MetroStnPt_9,,9,{A0DA5D2A-9767-4D79-8A21-2EDA51C6A63E},,,JLAY,2024/03/19 19:36:11+00
-8577436.19401395,4710947.44988377,Woodley Park-Zoo Adams Morgan,https://www.wmata.com/rider-guide/stations/woodley-park.cfm,red,2700 24TH STREET NW,https://www.wmata.com/js/nexttrain/nexttrain.html#A04|Woodley%20Park-Zoo/Adams%20Morgan,MetroStnPt_10,,10,{1D1F4962-2157-45E5-A62C-047D2C094BA4},,,,
