X,Y,NAME,LICENSE_NUMBER,FACTYPE,ADDRESS,ADDRESSLINE2,CITY,STATE,ZIPCODE,PHONE,WARD,ANC,SSL,SEASONAL,H1N1,XCOORD,YCOORD,MAR_ID,GIS_ID,GIS_LAST_MOD_DTTM,SE_ANNO_CAD_DATA,GLOBALID,CREATED,EDITED,OBJECTID
-8577006.22629108,4707591.28564632,G W MEDICAL FACULTY ASSOCIATES PHARMACY,RX0000301,,2150 PENNSYLVANIA AVE NW,G201,Washington,DC,20037,202-741-2218,Ward 2,ANC 2A,0075    0048,,,395788.2,137086.96,242494,,2025/05/03 12:55:29+00,,{343BC84E-7826-0C58-E063-782F520A417E},,,6698
-8579568.33526124,4710195.35549738,CVS/PHARMACY #2378,RX1000406,,2226 WISCONSIN AVE NW,,Washington,DC,20007,401-765-1500,Ward 3,ANC 3B,1300    0556,,,393793.35,139108.9,275326,,2025/05/03 12:55:29+00,,{343BC84E-7827-0C58-E063-782F520A417E},,,6699
-8568005.07257438,4701682.78548305,"DISTRICT OF COLUMBIA CVS PHARMACY, LLC DBA CVS PHARMACY #1360",RX2100162,,2724 GOOD HOPE RD SE,,Washington,DC,20020,401-765-1500,Ward 7,ANC 7B,,,,402803.66,132499.74,313186,,2025/05/03 12:55:29+00,,{343BC84E-7828-0C58-E063-782F520A417E},,,6700
-8571784.13665045,4707420.16232822,GIANT PHARMACY #2381,RX0000067,,300 H STREET NE,,Washington,DC,20002,717-240-7541,Ward 6,ANC 6C,"0776    0054,0776    2001,0776    2002,0776    2003",,,399857.33,136953.04,308511,,2025/05/03 12:55:29+00,,{343BC84E-7829-0C58-E063-782F520A417E},,,6701
-8575822.94276164,4711770.7134488,MT. PLEASANT CARE PHARMACY,RX250000129,,3169 MOUNT PLEASANT ST NW,,Washington,DC,20010,202-387-3100,Ward 1,ANC 1D,2595    1037,,,396711.58,140329.3,236420,,2025/05/03 12:55:29+00,,{343BC84E-782A-0C58-E063-782F520A417E},,,6702
-8574324.42599033,4712448.49371145,CVS/PHRMACY #2787,RX1000423,,3642 GEORGIA AVE NW,,Washington,DC,20010,401-765-1500,Ward 1,ANC 1E,2897    0147,,,397878.91,140854.66,308316,,2025/05/03 12:55:29+00,,{343BC84E-782B-0C58-E063-782F520A417E},,,6703
-8579983.85201545,4709077.23730604,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL PHARMACY,RX1200007,,3800 RESERVOIR RD NW,,Washington,DC,20007,202-444-1522,Ward 2,ANC 2E,"1321    0824,1321    0001",,,393468.94,138241.62,291547,,2025/05/03 12:55:29+00,,{343BC84E-782C-0C58-E063-782F520A417E},,,6704
-8566077.35767749,4706339.94479708,APEX CARE PHARMACY,RX1100437,,3839 MINNESOTA AVE NE,,Washington,DC,20019,202-388-1900,Ward 7,ANC 7F,5050    0084,,,404304.67,136115.85,29919,,2025/05/03 12:55:29+00,,{343BC84E-782D-0C58-E063-782F520A417E},,,6705
-8570020.92494198,4705055.65211437,NAI SATURN EASTERN LLC DBA SAFEWAY PHARMACY # 3217,RX2000158,,415 14TH STREET SE,,Washington,DC,20003,208-395-4303,Ward 6,ANC 6B,"1042    0829,1042    0109,1042    7000",,,401231.56,135117.92,26239,,2025/05/03 12:55:29+00,,{343BC84E-782E-0C58-E063-782F520A417E},,,6706
-8578672.52436185,4713786.64030353,CVS/PHARMACY #1362,RX1000395,,4309 CONNECTICUT AVE NW,,Washington,DC,20008,401-765-1500,Ward 3,ANC 3F,"2049    0805,2049    0006",,,394493.14,141894.2,302109,,2025/05/03 12:55:29+00,,{343BC84E-782F-0C58-E063-782F520A417E},,,6707
