X,Y,DCGISPrimaryCarePtNAME,DCGISPrimaryCarePtADDRESS,DCGISPrimaryCarePtCITY,DCGISPrimaryCarePtSTATE,DCGISPrimaryCarePtWARD,DCGISPrimaryCarePtPHONE,DCGISPrimaryCarePtFAX,DCGISPrimaryCarePtCT_HPSA,DCGISPrimaryCarePtMEDICALDIR,DCGISPrimaryCarePtCHARGENURS,DCGISPrimaryCarePtADMINISTRA,DCGISPrimaryCarePtWEB_URL,DCGISPrimaryCarePtMAR_CENSUS,DCGISPrimaryCarePtSEE_PATIENTS_WHO_CANT_PAY,DCGISPrimaryCarePtPOPULATION_SERVED,DCGISPrimaryCarePtWALKIN_UNSCHEDULED,DCGISPrimaryCarePtINSURANCE_ACCEPTED,DCGISPrimaryCarePtOPEN_TO_PUBLIC,DCGISPrimaryCarePtLIMITED_ACCESS,DCGISPrimaryCarePtTREATMENT_FOR_ALL,DCGISPrimaryCarePtPUBLIC_INSURANCE,DCGISPrimaryCarePtMEDICAID,DCGISPrimaryCarePtMEDICARE,DCGISPrimaryCarePtPRIVATE_EMPLOYER_INSURANCE,DCGISPrimaryCarePtPRIVATE_INSURANCE,DCGISPrimaryCarePtSLIDING_SCALE,DCGISPrimaryCarePtFACILITY_SETTING,DCGISPrimaryCarePtFACILITY_TYPE,DCGISPrimaryCarePtPRACTICE_TYPE,DCGISPrimaryCarePtYESNO,DCGISPrimaryCarePtLAST_MODIFIED_DATE,DCGISPrimaryCarePtLAST_MODIFIED_USER,DCGISPrimaryCarePtLAST_MODIFIED_ACTION,DCGISPrimaryCarePtGIS_ID,DCGISPrimaryCarePtOBJECTID,DCGISPrimaryCarePtXCOORD,DCGISPrimaryCarePtYCOORD,DCGISPrimaryCarePtZIP_1,DCGISPrimaryCarePtZIPCODE,DCGISPrimaryCarePtMAR_ID,DCGISPrimaryCarePtSE_ANNO_CAD_DATA,DCGISPrimaryCarePtGLOBALID,DCGISPrimaryCarePtCREATOR,DCGISPrimaryCarePtCREATED,DCGISPrimaryCarePtEDITOR,DCGISPrimaryCarePtEDITED,DCGISPRIMARY_CARE_INFOOBJECTID,DCGISPRIMARY_CARE_INFOOPEN_TO_PUBLIC,DCGISPRIMARY_CARE_INFOLIMITED_ACCESS,DCGISPRIMARY_CARE_INFOTREATMENT_FOR_ALL,DCGISPRIMARY_CARE_INFOPUBLIC_INSURANCE,DCGISPRIMARY_CARE_INFOMEDICAID,DCGISPRIMARY_CARE_INFOMEDICARE,DCGISPRIMARY_CARE_INFOPRIVATE_EMPLOYER_INSURANCE,DCGISPRIMARY_CARE_INFOPRIVATE_INSURANCE,DCGISPRIMARY_CARE_INFOSLIDING_SCALE,DCGISPRIMARY_CARE_INFOFACILITY_SETTING,DCGISPRIMARY_CARE_INFOFACILITY_TYPE,DCGISPRIMARY_CARE_INFOPRACTICE_TYPE,DCGISPRIMARY_CARE_INFOYESNO_,DCGISPRIMARY_CARE_INFOHR_CONTACT,DCGISPRIMARY_CARE_INFOHR_PHONE,DCGISPRIMARY_CARE_INFOHR_EMAIL,DCGISPRIMARY_CARE_INFOPUBLIC_SERVICES,DCGISPRIMARY_CARE_INFOPOP_SERVED,DCGISPRIMARY_CARE_INFOCHILD_SPECIAL_NEEDS,DCGISPRIMARY_CARE_INFOELDERLY,DCGISPRIMARY_CARE_INFOHIV,DCGISPRIMARY_CARE_INFOHOMELESS,DCGISPRIMARY_CARE_INFOLBGT,DCGISPRIMARY_CARE_INFOINTEL_DISABLED,DCGISPRIMARY_CARE_INFOLANGUAGE_LIMITED,DCGISPRIMARY_CARE_INFOOTHER_SPECIAL_POP,DCGISPRIMARY_CARE_INFOPHYSICALLY_DISABLED,DCGISPRIMARY_CARE_INFOMENTAL_ILLNESS,DCGISPRIMARY_CARE_INFOABILITY_TO_PAY,DCGISPRIMARY_CARE_INFOINSURANCE_ALLIANCE,DCGISPRIMARY_CARE_INFOPRIVATE_PLANS,DCGISPRIMARY_CARE_INFOEXCLUDED_PLANS,DCGISPRIMARY_CARE_INFOPRACTICE_SETTING,DCGISPRIMARY_CARE_INFOHOSPITAL_AFFILIATION,DCGISPRIMARY_CARE_INFOCARDIOLOGY,DCGISPRIMARY_CARE_INFODERMATOLOGY,DCGISPRIMARY_CARE_INFOENDOCRINOLOGY,DCGISPRIMARY_CARE_INFOGASTROENTEROLOGY,DCGISPRIMARY_CARE_INFOGENERAL_SURGERY,DCGISPRIMARY_CARE_INFOHIV_AIDS,DCGISPRIMARY_CARE_INFOINFECTIOUS_DISEASE,DCGISPRIMARY_CARE_INFONEPHROLOGY,DCGISPRIMARY_CARE_INFONEUROLOGY,DCGISPRIMARY_CARE_INFOOBSTETRICS,DCGISPRIMARY_CARE_INFOONCOLOGY,DCGISPRIMARY_CARE_INFOOPTHALMOLOGY,DCGISPRIMARY_CARE_INFOORAL_SURGERY,DCGISPRIMARY_CARE_INFOOTHER_SPECIALTY,DCGISPRIMARY_CARE_INFOORTHOPEDIC,DCGISPRIMARY_CARE_INFOGASTRO_ENT,DCGISPRIMARY_CARE_INFOPEDIATRICS,DCGISPRIMARY_CARE_INFOPODIATRY,DCGISPRIMARY_CARE_INFOPRIMARY_CARE,DCGISPRIMARY_CARE_INFOPSYCHIATRY,DCGISPRIMARY_CARE_INFOPULMONARY_MEDICINE,DCGISPRIMARY_CARE_INFOREPRODUCTIVE_HEALTH,DCGISPRIMARY_CARE_INFORHEUMATOLOGY,DCGISPRIMARY_CARE_INFOSTI_TEST_TREAT,DCGISPRIMARY_CARE_INFOUROLOGY,DCGISPRIMARY_CARE_INFODENTISTRY,DCGISPRIMARY_CARE_INFOHEALTH_NUTR_ED,DCGISPRIMARY_CARE_INFOMENTAL_HEALTH,DCGISPRIMARY_CARE_INFOPHARMACY,DCGISPRIMARY_CARE_INFOOTHER_SERVICES,DCGISPRIMARY_CARE_INFOWIC,DCGISPRIMARY_CARE_INFOSOCIAL_SERVICES,DCGISPRIMARY_CARE_INFOCHILDCARE,DCGISPRIMARY_CARE_INFOINSURANCE_SCREEN,DCGISPRIMARY_CARE_INFOINSURANCE_OTHER,DCGISPRIMARY_CARE_INFOACCEPT_NEW_PT,DCGISPRIMARY_CARE_INFOSCHEDULE_APPT_PHONE,DCGISPRIMARY_CARE_INFOSCHEDULE_APPT_EMAIL,DCGISPRIMARY_CARE_INFOSCHEDULE_APPT_WEB,DCGISPRIMARY_CARE_INFOOPEN_ACCESS_SCHEDULE,DCGISPRIMARY_CARE_INFOOPEN_ACCESS_TIME,DCGISPRIMARY_CARE_INFOHOURS_MONDAY,DCGISPRIMARY_CARE_INFOHOURS_TUESDAY,DCGISPRIMARY_CARE_INFOHOURS_WEDNESDAY,DCGISPRIMARY_CARE_INFOHOURS_THURSDAY,DCGISPRIMARY_CARE_INFOHOURS_FRIDAY,DCGISPRIMARY_CARE_INFOHOURS_SATURDAY,DCGISPRIMARY_CARE_INFOHOURS_SUNDAY,DCGISPRIMARY_CARE_INFOENGLISH,DCGISPRIMARY_CARE_INFOSPANISH,DCGISPRIMARY_CARE_INFOVIETNAMESE,DCGISPRIMARY_CARE_INFOKOREAN,DCGISPRIMARY_CARE_INFOAMHARIC,DCGISPRIMARY_CARE_INFOCHINESE_TRADITIONAL,DCGISPRIMARY_CARE_INFOFRENCH,DCGISPRIMARY_CARE_INFOASL,DCGISPRIMARY_CARE_INFOOTHER_LANGUAGE,DCGISPRIMARY_CARE_INFOFACILITY_AFFILIATION,DCGISPRIMARY_CARE_INFOGIS_ID,DCGISPRIMARY_CARE_INFOEVENING_HOURS,DCGISPRIMARY_CARE_INFOMEDICAL_SERVICES_AVAILABLE,DCGISPRIMARY_CARE_INFOQUADRANT,DCGISPRIMARY_CARE_INFOANC,DCGISPRIMARY_CARE_INFOWEEKEND_HOURS,DCGISPRIMARY_CARE_INFOCREATED_USER,DCGISPRIMARY_CARE_INFOCREATED_DATE,DCGISPRIMARY_CARE_INFOLAST_EDITED_USER,DCGISPRIMARY_CARE_INFOLAST_EDITED_DATE,DCGISPRIMARY_CARE_INFOMAR_ID
-8576032.24200029,4710358.97134914,Mary's Center - Adams Morgan,2333 ONTARIO ROAD NW,WASHINGTON,DC,1,202-483-8196, , , , , ,https://www.maryscenter.org/contact-and-locations/adams-morgan-dc/,003802, , ,Other - Modified open access, ,Yes, ,Yes,Yes,Yes,Yes,Yes,Private insurance is also accepted,Yes,Community Health Center-FQHC,Private Non-Profit, ,,,,,PC_17,321,396548.08,139234.16,20009,20009,284370,,{58C59BBF-6642-498B-898D-AF1BA7293471},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,350,Yes, ,Yes,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes,Community Health Center-FQHC,Private Non-Profit, ,,Andreina Pradas,202-420-7112/7141/7042,apradas@maryscenter.org,Yes,All,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes-Immigrant,Yes,Yes,Yes,Yes,See Worksheet, ,Community Health Center-FQHC, , , , , , , , , , ,Yes, , , , , , ,Yes, ,Yes,Yes, ,Yes, ,Yes, ,Yes,Yes,Yes, ,"Dental, Health Ed/Nutrition, Mental Health, WIC, Adult & Child Literacy",Yes,Yes, ,Yes, ,Yes,"Yes, by phone", , ,Other - Modified open access,M-F 8:00 -11:00 AM and 1-3:00 PM,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,Yes,Yes,Yes, ,Yes, ,Yes,Yes,"Armenian, Bamilek, Bosnia, Croatian, Danish, English Creole, Fulani (W. Africa), German, Haitian Creole, Hindi, Ibibio, Krio, Nepali, Portuguese, Shangana, Swahili & Twi",Yes - added,PC_17,No,"Obstetrics, Pediatrics, Primary Care, Psychaitry, Reproductive Health, STI Test/Treatment",NW,1C,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,284370
-8574643.67900153,4710203.43487477,Children's Health Center - Shaw/Comp Clinic,2220 11TH STREET NW,WASHINGTON,DC,1,202-476-5500, , , , , ,https://childrensnational.org,004401, , ,Yes, ,No,Children and Adolescents,Yes, ,Yes, ,Yes, ,Yes, ,Private Non-Profit, ,,,,,PC_07,322,397629.74,139113.09,20001,20001,238963,,{CA0BAFFA-6986-440B-9E1E-BAEC12223D41},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,327,No,Children and Adolescents,Yes,Yes,Yes, ,"Yes, please call","Yes, please call",Yes, ,Private Non-Profit, ,, , , ,No,Children and Adolescents,Yes, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , , , ,Hospital-Affiliated Clinic, , , , , , , , , , , , , , , , ,Yes, ,Yes, , , , , , , ,Yes,Yes, ,"Health Ed/Nutrition, Mental Health, WIC",Yes, , ,Yes, ,Yes,"Yes, by phone", ,www.childrensnational.org/RequestAppointment/,Yes,during clinic hours,8:00 AM - 4:30 PM,8:00 AM - 4:30 PM,8:00 AM - 4:30 PM,8:00 AM - 4:30 PM,8:00 AM - 4:30 PM,9:00 AM -4:00 PM,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , ,PC_07,No,"Pediatrics, Primary Care",NW,1B,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,238963
-8576106.61827727,4710124.73020697,Community of Hope - Marie Reed Health Center,2155 CHAMPLAIN STREET NW,WASHINGTON,DC,1,202-232-9022, , , , , ,https://www.communityofhopedc.org,003801, , ,Yes -call, ,Yes, ,Yes,Yes,Yes,Yes,Yes,Private insurance is also accepted,Yes,FQHC,Private Non-Profit, ,,,,,PC_11,323,396489.2,139058.25,20009,20009,316200,,{1683DE4D-DD05-46D2-9AEE-6E7D384F06C4},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,351,Yes, ,Yes,Yes,Yes,Yes,"Yes, please call","Yes, please call",Yes,FQHC,Private Non-Profit, ,,Charla Everhart Lum,202-407-7749,clum@cohdc.org,Yes,All,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Carefirst/Aetna/Cigna, ,FQHC, , , , , , ,Yes, , , ,Yes, , , , , , ,Yes, ,Yes,Yes, ,Yes, ,Yes, ,Yes,Yes,Yes, ,"Dental, Health Ed/Nutrition, Mental Health", ,Yes, ,Yes, ,Yes,"Yes, by phone",info.cohdc.org,Yes,"Yes, limited",(didn't list),8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 8:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,9:00 AM -3:30 PM,,Yes,Yes,Via translation line,Via translation line,Via translation line,Via translation line,Via translation line, ,Translation for all others,Yes - added,PC_11,Yes,"HIV/AIDS Care, Obstetrics, Pediatrics, Primary Care, Psychiatry, Reproductive Health, STI Test/Treatment",NW,1C,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,316200
-8574007.41774038,4710053.01131284,Howard University Hospital Family Health Center,2139 GEORGIA AVENUE NW,WASHINGTON,DC,1,202-865-3250, , , , , ,https://www.huhealthcare.com/health-services/community-family/,003400, , ,Yes, ,Yes, , ,Yes,Yes,Yes,Yes,Private insurance is also accepted, , , , ,,,,,PC_14,324,398125.37,138996.25,20001,20001,291573,,{F68A263B-0F19-4050-AC32-B7DBC1B0E1FD},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,326,Yes, , ,Yes,Yes,Yes,"Yes, please call","Yes, please call", , , , ,, , , ,Yes,All, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes-Refugees & Asylees,Yes, , ,Yes,"BC/BS, Cigna Commercial, Commercial Managed Care", , ,Hospital-Affiliated Clinic, , , , , , , , , , , , , , , , , , ,Yes, , , , , , , , , , ,None, , , , , ,Yes,"Yes, by phone", , ,Yes,Times vary.,8:30 AM - 6:00 PM,8:30 AM - 6:00 PM,8:30 AM - 6:00 PM,8:30 AM - 6:00 PM,8:30 AM - 6:00 PM,,,Yes,Yes,Yes, ,Yes,Yes, , ,Cyracom Telephone Onsite, ,PC_14,No,Primary Care,NW,1E,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,291573
-8568725.58968101,4709910.95770779,Unity - Harbor Light Health Center,2100 NEW YORK AVENUE NE,WASHINGTON,DC,5,202-508-0500, , , , , ,https://www.unityhealthcare.org/,011100, , ,Yes, ,Yes,Homeless/Residential, , ,Yes,Yes, , ,Yes,Community Health Center-FQHC,Private Non-Profit, ,,,,,PC_41,325,402240.09,138886.13,20002,20002,286616,,{F62AF4D2-ED9A-4137-960D-07B7E2E46F04},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,324,Yes, , ,Yes,Yes,Yes,Please call,Please call,Yes,Community Health Center-FQHC,Private Non-Profit, ,,Provider Specialist or Human Resources,202-715-7900,Aalleyne@Unityhealthcare.org,Yes,All, ,Yes,Yes,Yes,Yes,Yes, , ,Yes,Yes,Yes, , , ,Community Health Center - FQHC, , , , , ,Yes, , , , , , , ,Yes, , , , , ,Yes,Yes, ,Yes, ,Yes, ,Yes, ,Yes, ,"Dental, Mental Health", ,Yes, , , ,Yes,"Yes, by phone", , ,Yes,varies,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,Yes,Yes, , , , , , , , ,PC_41,No,"General Surgery, Oral Surgery, Primary Care, Psychiatry, Reproductive Health, STI Testing",NE,5C,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,286616
-8570023.58471737,4709514.18835017,Unity - New York Avenue Homeless Shelter,1355 NEW YORK AVENUE NE,WASHINGTON,DC,5,202-508-0500, , , , , ,https://www.unityhealthcare.org/,008803, , ,Yes, ,Yes,Homeless/Residential,Yes, ,Yes,Yes, , ,Yes,Community Health Center-FQHC,Private Non-Profit, ,,,,,PC_45,326,401228.95,138578.06,20002,20002,66060,,{F7350E78-33CB-4010-BB18-83E41D911489},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,329,Yes, ,Yes,Yes,Yes,Yes,Please call,Please call,Yes,Community Health Center-FQHC,Private Non-Profit, ,,Provider Specialist or Human Resources,202-715-7900,aalleyne@Unityhealthcare.org,Yes,All, ,Yes,Yes,Yes,Yes,Yes, , ,Yes,Yes,Yes, , , ,Community Health Center-FQHC, , , , , ,Yes, , , , , , , ,Yes, , , , , ,Yes,Yes, ,Yes, ,Yes, ,Yes, ,Yes, ,"Dental, Mental Health", ,Yes, , , ,Yes,"Yes, by phone", , ,Yes,varies,,,5:00 PM - 9:00 PM,,5:00 PM - 9:00 PM,,,Yes,Yes, , , , , , , , ,PC_45,Yes,"General Surgery, Oral Surgery, Primary Care, Psychiatry, Reproductive Health, STI Testing",NE,5D,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,66060
-8564254.51261104,4709036.70104723,Elaine Ellis Center of Health,1627 KENILWORTH AVENUE NE,WASHINGTON,DC,7,202-803-2340,,,,,,https://eechealth.com,009601,,,Please Call,,Yes,Please Call,Yes,Yes,Yes,,Please Call,,,,,,,,,,PC_53,327,405727.76,138206.26,20019,20019,150101,,{B7468899-A842-484B-952A-D2C9DA37E24C},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,344,Yes,Please Call,Yes,Yes,Yes,,Please call,Please call,,,,,,,,,Yes,Please Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,None,,,,,,,,,,,,9:00 AM - 6:00 PM,9:30 AM - 7:00 PM,9:00 AM - 6:00 PM,9:30 AM - 7:00 PM,9:30 AM - 2:00 PM,9:30 AM - 2:00 PM,,,,,,,,,,,,PC_53,Please call,Primary Care,NE,7C,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,150101
-8575122.28025948,4708857.10366105,Whitman Walker - 1525 Medical Center,1525 14TH STREET NW,WASHINGTON,DC,2,202-745-7000,,,,,,https://www.whitman-walker.org,005001,,,,,,,,,,,,,,,,,,2016/02/12 00:00:00+00,Eva.Stern,ADD,PC_56,328,397256.54,138068.59,20005,20005,300332,,{21C94307-0472-4ED5-81FB-AA1881737619},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:30 AM - 12:30 PM  1:30 PM - 5:00 PM,8:30 AM - 12:30 PM  1:30 PM - 5:00 PM,8:30 AM - 12:30 PM  1:30 PM - 5:00 PM,8:30 AM - 12:30 PM  1:30 PM - 5:00 PM,8:30 AM - 12:30 PM  1:30 PM - 5:00 PM,,,,,,,,,,,,,PC_56,,,NW,2F,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,300332
-8574008.32447995,4708836.59108625,Bread for the City,1525 7TH STREET NW,WASHINGTON,DC,2,202-386-7020, , , , , ,https://breadforthecity.org,004801, , ,Yes -some, ,No,"Only Medicaid, Alliance & Uninsured DC residents",Yes,Yes,Yes,Yes,No,NONE,No fees,Community Health Center - FREE Clinic,Private Non-Profit, ,,,,,PC_02,329,398127.04,138052.13,20001,20001,297622,,{51080743-4677-4009-923F-4769EB7E321C},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,322,No,"Only Medicaid, Alliance & Uninsured DC residents",Yes,Yes,Yes,Yes,No,No,No fees,Community Health Center - FREE Clinic,Private Non-Profit, ,, , , ,No,"Only Medicaid, Alliance & Uninsured DC residents",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Everyone,Yes,Yes,Yes,Alliance,NONE,All Private Insurance Not accepted,Community Health Center - FREE Clinic, , , , , , , , , , , , , , ,Dental, , ,Yes, ,Yes, , ,Yes, ,Yes, ,Yes,Yes, , ,"Dental, Health Ed/Nutrition", ,Yes, ,Yes, ,Yes - few per day,"Yes, by phone", , ,"Yes, limited",Same day and Next Day Only for New & returning patients.,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 5:00 PM,8:30 AM - 12:00 PM,,,Yes,Yes,Via Language Line,Via Language Line,Via Language Line,Via Language Line,Via Language Line, ,Interpreter available for any languages, ,PC_02,No,"Pediatrics, Primary Care, Reproductive Health, STI Testing",NW,2G,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,297622
-8572836.76182775,4708537.61329577,S.O.M.E (So Others Might Eat),60 O STREET NW,WASHINGTON,DC,5,202-797-8806, , , , , ,https://some.org,004600, , ,Yes, ,No,Homeless and under-served,Yes,Yes,Yes,Yes, ,N/A,Yes,Community Health Center,Private Non-Profit, ,,,,,PC_26,330,399037.2,137820.26,20001,20001,236940,,{1A5177D9-B4EC-4D99-AA3C-F12BC91E6B20},JLAY,2022/09/22 15:59:52+00,JLAY,2022/09/22 15:59:52+00,323,No,Homeless and under-served,Yes,Yes,Yes,Yes,No,No,Yes,Community Health Center,Private Non-Profit, ,,Carolyn Penn,202-797-8806,cpenn@some.org,No,Homeless-under-served, ,Yes, ,Yes,Yes, , , , ,Yes,Yes,Yes,N/A, ,Community Health Center, , , , , , , , , , , , , ,Yes,Opthalmology, , , , ,Yes,Yes, , , , , ,Yes, ,Yes, ,"Dental, Mental Health", ,Yes, , , ,Yes,"Yes, by phone", , ,Yes,Monday -Friday  8:00 AM - 2:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,,,Yes,Yes, , , , , , , , ,PC_26,No,"Opthalmology, Oral Surgery, Primary Care, Psychiatry",NW,5E,,JLAY,2022/09/22 16:02:31+00,JLAY,2022/09/22 16:02:31+00,236940
