Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2022,DC,District of Columbia,District of Columbia,11001,11001007202,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude prevalence,4.6,,,4.0,5.2,4303,4152,POINT (-77.0070741 38.8786426),11001007202,HLTHSTAT,GHLTH,CrdPrv,General Health
2022,DC,District of Columbia,District of Columbia,11001,11001009505,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Crude prevalence,36.2,,,30.6,42.0,3796,3118,POINT (-77.0051999 38.9618925),11001009505,RISKBEH,SLEEP,CrdPrv,Short Sleep Duration
2022,DC,District of Columbia,District of Columbia,11001,11001001600,BRFSS,Disability,Vision disability among adults,%,Crude prevalence,3.7,,,3.4,4.0,4471,3466,POINT (-77.0382324 38.9849725),11001001600,DISABLT,VISION,CrdPrv,Vision Disability
2022,DC,District of Columbia,District of Columbia,11001,11001002202,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,%,Crude prevalence,15.8,,,14.4,17.5,3339,2556,POINT (-77.0118821 38.9479653),11001002202,SOCLNEED,HOUSINSECU,CrdPrv,Housing Insecurity
2022,DC,District of Columbia,District of Columbia,11001,11001004704,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,68.2,,,60.0,75.3,1945,1339,POINT (-77.0114767 38.904566),11001004704,PREVENT,MAMMOUSE,CrdPrv,Mammography
2022,DC,District of Columbia,District of Columbia,11001,11001002002,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,7.7,,,6.9,8.7,4072,3198,POINT (-77.0310824 38.9525009),11001002002,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress
2021,DC,District of Columbia,District of Columbia,11001,11001008200,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Crude prevalence,26.5,,,23.1,30.2,2695,2360,POINT (-77.000604 38.8918309),11001008200,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2022,DC,District of Columbia,District of Columbia,11001,11001010202,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,4.6,,,3.5,6.2,2631,2454,POINT (-77.024577 38.8843563),11001010202,PREVENT,ACCESS2,CrdPrv,Health Insurance
2022,DC,District of Columbia,District of Columbia,11001,11001005801,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Crude prevalence,29.5,,,24.4,34.9,1672,1570,POINT (-77.0205095 38.8975634),11001005801,RISKBEH,SLEEP,CrdPrv,Short Sleep Duration
2022,DC,District of Columbia,District of Columbia,11001,11001009811,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,14.3,,,12.8,15.9,4438,2988,POINT (-76.9984594 38.826651),11001009811,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2022,DC,District of Columbia,District of Columbia,11001,11001007100,BRFSS,Health Status,Frequent mental distress among adults,%,Crude prevalence,16.7,,,15.0,18.5,3218,2648,POINT (-76.986838 38.8771811),11001007100,HLTHSTAT,MHLTH,CrdPrv,Frequent Mental Distress
2022,DC,District of Columbia,District of Columbia,11001,11001001803,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,%,Crude prevalence,64.8,,,60.2,69.1,4102,3066,POINT (-77.0419173 38.9672412),11001001803,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2021,DC,District of Columbia,District of Columbia,11001,11001001901,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,35.0,,,31.2,39.0,4206,3316,POINT (-77.0236327 38.9646853),11001001901,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
