OID_,ID,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,ACSDISABBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,DISABILITY,DISABILITYPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,NO2,DWATER,D2_PM25,D5_PM25,D2_OZONE,D5_OZONE,D2_DSLPM,D5_DSLPM,D2_RSEI_AIR,D5_RSEI_AIR,D2_PTRAF,D5_PTRAF,D2_LDPNT,D5_LDPNT,D2_PNPL,D5_PNPL,D2_PRMP,D5_PRMP,D2_PTSDF,D5_PTSDF,D2_UST,D5_UST,D2_PWDIS,D5_PWDIS,D2_NO2,D5_NO2,D2_DWATER,D5_DWATER,P_DEMOGIDX_2,P_DEMOGIDX_5,P_PEOPCOLORPCT,P_LOWINCPCT,P_UNEMPPCT,P_DISABILITYPCT,P_LINGISOPCT,P_LESSHSPCT,P_UNDER5PCT,P_OVER64PCT,P_LIFEEXPPCT,P_PM25,P_OZONE,P_DSLPM,P_RSEI_AIR,P_PTRAF,P_LDPNT,P_PNPL,P_PRMP,P_PTSDF,P_UST,P_PWDIS,P_NO2,P_DWATER,P_D2_PM25,P_D5_PM25,P_D2_OZONE,P_D5_OZONE,P_D2_DSLPM,P_D5_DSLPM,P_D2_RSEI_AIR,P_D5_RSEI_AIR,P_D2_PTRAF,P_D5_PTRAF,P_D2_LDPNT,P_D5_LDPNT,P_D2_PNPL,P_D5_PNPL,P_D2_PRMP,P_D5_PRMP,P_D2_PTSDF,P_D5_PTSDF,P_D2_UST,P_D5_UST,P_D2_PWDIS,P_D5_PWDIS,P_D2_NO2,P_D5_NO2,P_D2_DWATER,P_D5_DWATER,B_DEMOGIDX_2,B_DEMOGIDX_5,B_PEOPCOLORPCT,B_LOWINCPCT,B_UNEMPPCT,B_DISABILITYPCT,B_LINGISOPCT,B_LESSHSPCT,B_UNDER5PCT,B_OVER64PCT,B_LIFEEXPPCT,B_PM25,B_OZONE,B_DSLPM,B_RSEI_AIR,B_PTRAF,B_LDPNT,B_PNPL,B_PRMP,B_PTSDF,B_UST,B_PWDIS,B_NO2,B_DWATER,B_D2_PM25,B_D5_PM25,B_D2_OZONE,B_D5_OZONE,B_D2_DSLPM,B_D5_DSLPM,B_D2_RSEI_AIR,B_D5_RSEI_AIR,B_D2_PTRAF,B_D5_PTRAF,B_D2_LDPNT,B_D5_LDPNT,B_D2_PNPL,B_D5_PNPL,B_D2_PRMP,B_D5_PRMP,B_D2_PTSDF,B_D5_PTSDF,B_D2_UST,B_D5_UST,B_D2_PWDIS,B_D5_PWDIS,B_D2_NO2,B_D5_NO2,B_D2_DWATER,B_D5_DWATER,T_DEMOGIDX_2,T_DEMOGIDX_5,T_PEOPCOLORPCT,T_LOWINCPCT,T_UNEMPPCT,T_DISABILITYPCT,T_LINGISOPCT,T_LESSHSPCT,T_UNDER5PCT,T_OVER64PCT,T_LIFEEXPPCT,T_PM25,T_OZONE,T_DSLPM,T_RSEI_AIR,T_PTRAF,T_LDPNT,T_PNPL,T_PRMP,T_PTSDF,T_UST,T_PWDIS,T_NO2,T_DWATER,T_D2_PM25,T_D5_PM25,T_D2_OZONE,T_D5_OZONE,T_D2_DSLPM,T_D5_DSLPM,T_D2_RSEI_AIR,T_D5_RSEI_AIR,T_D2_PTRAF,T_D5_PTRAF,T_D2_LDPNT,T_D5_LDPNT,T_D2_PNPL,T_D5_PNPL,T_D2_PRMP,T_D5_PRMP,T_D2_PTSDF,T_D5_PTSDF,T_D2_UST,T_D5_UST,T_D2_PWDIS,T_D5_PWDIS,T_D2_NO2,T_D5_NO2,T_D2_DWATER,T_D5_DWATER,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,EXCEED_COUNT_80,EXCEED_COUNT_80_SUP,Shape_Length,Shape_Area
15925,11001000101,DISTRICT OF COLUMBIA,DC,District of Columbia,3,1097,1097,1006,738,841,688,1097,0.599491847108138,0.425955552524202,298,0.271649954421149,60,0.054694621695533,0,0,55,0.050136736554239,4,0.005420054200542,12,0.011928429423459,21,0.019143117593437,317,0.288969917958067,0.122051282051282,7.09299073770492,59.41756,0.379561495633325,124.4316168,6162200.471640555,677,0.80499405469679,0.163330286116209,0,31.646517432670567,0,13301.387551702448,12.829566955566406,0,11.989836942162754,8.519111050484032,26.977133119866192,19.16799986358907,53.954266239732384,38.33599972717814,15.58678802481158,11.07484436562924,56.35223362816494,40.03982193727495,56.95172547527307,40.46577748979915,40.76544560335336,28.964977571645708,0,0,59.34969286370563,42.169599699895954,0,0,53.35477439262425,37.91004417465393,54.55375808684053,38.76195527970234,0,0,12,1,43,4,0,5,37,6,9,92,2,20,45,90,26,94,95,68,0,99,0,89,91,0,14,7,28,14,49,30,15,8,50,32,50,30,59,54,0,0,52,34,0,0,48,29,49,31,0,0,2,1,5,1,1,1,4,1,1,10,1,3,5,10,3,10,11,7,1,11,1,9,10,1,2,1,3,2,5,4,2,1,6,4,6,4,6,6,1,1,6,4,1,1,5,3,5,4,1,1,12 %ile,1 %ile,43 %ile,4 %ile,0 %ile,5 %ile,37 %ile,6 %ile,9 %ile,92 %ile,2 %ile,20 %ile,45 %ile,90 %ile,26 %ile,94 %ile,95 %ile,68 %ile,0 %ile,99 %ile,0 %ile,89 %ile,91 %ile,0 %ile,14 %ile,7 %ile,28 %ile,14 %ile,49 %ile,30 %ile,15 %ile,8 %ile,50 %ile,32 %ile,50 %ile,30 %ile,59 %ile,54 %ile,0 %ile,0 %ile,52 %ile,34 %ile,0 %ile,0 %ile,48 %ile,29 %ile,49 %ile,31 %ile,0 %ile,0 %ile,199776,5261,0,0,0,0,0.022235279278805,2.12935625e-5
15926,11001000102,DISTRICT OF COLUMBIA,DC,District of Columbia,3,3127,3127,2756,1866,2093,2095,3127,0.571792709575488,0.574514061476856,634,0.202750239846498,271,0.086664534697793,16,0.00763723150358,211,0.067476814838503,49,0.026259378349411,60,0.021770682148041,110,0.035177486408698,871,0.278541733290694,0.122051282051282,7.10884677595628,59.39278,0.379231749553411,118.92788088577699,5772982.624805441,1751,0.836598184424271,0.153585210636335,0,30.028479139185208,5.052871236130295,14990.192790789242,12.739198773445215,0,11.43585419150976,11.490281229537116,25.73067193089696,25.85313276645851,51.46134386179392,51.70626553291702,14.866610448962687,14.937365598398252,53.176721990520385,53.429807717347586,54.89210011924685,55.15334990177816,38.310111541557696,38.49244211894934,0,0,56.60747824797331,56.87689208620873,45.74341676603904,45.961124918148464,51.46134386179392,51.70626553291702,52.03313657136941,52.28077959439388,0,0,10,2,33,9,6,12,61,11,24,91,2,20,45,90,26,93,96,67,0,99,80,90,91,0,13,9,27,19,48,42,15,11,48,43,49,39,58,54,0,0,50,45,46,37,47,39,47,42,0,0,2,1,4,1,1,2,7,2,3,10,1,3,5,10,3,10,11,7,1,11,9,10,10,1,2,1,3,2,5,5,2,2,5,5,5,4,6,6,1,1,6,5,5,4,5,4,5,5,1,1,10 %ile,2 %ile,33 %ile,9 %ile,6 %ile,12 %ile,61 %ile,11 %ile,24 %ile,91 %ile,2 %ile,20 %ile,45 %ile,90 %ile,26 %ile,93 %ile,96 %ile,67 %ile,0 %ile,99 %ile,80 %ile,90 %ile,91 %ile,0 %ile,13 %ile,9 %ile,27 %ile,19 %ile,48 %ile,42 %ile,15 %ile,11 %ile,48 %ile,43 %ile,49 %ile,39 %ile,58 %ile,54 %ile,0 %ile,0 %ile,50 %ile,45 %ile,46 %ile,37 %ile,47 %ile,39 %ile,47 %ile,42 %ile,0 %ile,0 %ile,1706484,516665,0,1,0,0,0.094848722362455,2.30868487e-4
15927,11001000201,DISTRICT OF COLUMBIA,DC,District of Columbia,3,2384,68,78,0,0,875,2384,2.726322275808031,1.442467096166989,1165,0.488674496644295,48,0.705882352941177,84,0.096,129,0.054110738255034,0,0,0,0,0,0,0,0,NA,7.13195215846995,59.48607,0.378767181521078,106.6801095,4816511.888121724,0,0,0.134186350617031,0,26.524503369439127,9.9790559303133,16668.729635216347,10.85533332824707,0,57.25276779196866,30.29180901950676,122.68450241136141,64.91101932751448,245.36900482272281,129.82203865502896,68.15805689520079,36.06167740417472,248.09532709853084,131.26450575119597,0,0,177.21094792752203,93.76036125085426,0,0,267.1795830291871,141.36177542436488,245.36900482272281,129.82203865502896,245.36900482272281,129.82203865502896,220.83210434045054,116.83983478952607,0,0,88,46,64,96,85,6,0,0,0,0,NA,21,45,90,25,91,0,65,0,98,90,90,81,0,50,24,78,49,95,80,58,28,95,80,0,0,88,71,0,0,97,83,95,78,96,80,91,75,0,0,9,5,7,11,9,1,1,1,1,1,NA,3,5,10,3,10,1,7,1,11,10,10,9,1,6,3,8,5,11,9,6,3,11,9,1,1,9,8,1,1,11,9,11,8,11,9,10,8,1,1,88 %ile,46 %ile,64 %ile,96 %ile,85 %ile,6 %ile,0 %ile,0 %ile,0 %ile,0 %ile,NA,21 %ile,45 %ile,90 %ile,25 %ile,91 %ile,0 %ile,65 %ile,0 %ile,98 %ile,90 %ile,90 %ile,81 %ile,0 %ile,50 %ile,24 %ile,78 %ile,49 %ile,95 %ile,80 %ile,58 %ile,28 %ile,95 %ile,80 %ile,0 %ile,0 %ile,88 %ile,71 %ile,0 %ile,0 %ile,97 %ile,83 %ile,95 %ile,78 %ile,96 %ile,80 %ile,91 %ile,75 %ile,0 %ile,0 %ile,505004,0,0,1,7,4,0.034681798551083,5.2446177e-5
15928,11001000202,DISTRICT OF COLUMBIA,DC,District of Columbia,3,3919,3282,2571,1802,1957,2542,3913,0.839643851310902,0.827706228506009,936,0.238836437866803,536,0.163315051797684,107,0.042092840283242,238,0.0608228980322,8,0.004439511653718,35,0.013613380007779,109,0.027813217657566,825,0.210512885940291,0.172307692307692,7.12481778688525,59.45428,0.378932688963802,112.53006057898116,5353006.731181817,1243,0.635155850792029,0.142677332525171,0,27.443649327618967,10.150221235320211,16712.671144993255,12.59710807343052,0,17.632520877528943,17.38183079862619,37.78397330899059,37.24678028277041,75.5679466179812,74.49356056554082,20.991096282772553,20.692655712650225,77.247234320603,76.14897302255284,72.20937121273758,71.18273565151678,55.41649418651954,54.6286110813966,0,0,82.2850974284684,81.11521039358888,75.5679466179812,74.49356056554082,75.5679466179812,74.49356056554082,75.5679466179812,74.49356056554082,0,0,25,10,39,25,46,9,35,7,16,73,28,21,45,90,25,92,86,66,0,98,90,90,90,0,19,14,38,28,60,57,21,16,60,58,60,49,63,58,0,0,62,60,61,55,61,55,59,56,0,0,3,2,4,3,5,1,4,1,2,8,3,3,5,10,3,10,9,7,1,11,10,10,10,1,2,2,4,3,7,6,3,2,7,6,7,5,7,6,1,1,7,7,7,6,7,6,6,6,1,1,25 %ile,10 %ile,39 %ile,25 %ile,46 %ile,9 %ile,35 %ile,7 %ile,16 %ile,73 %ile,28 %ile,21 %ile,45 %ile,90 %ile,25 %ile,92 %ile,86 %ile,66 %ile,0 %ile,98 %ile,90 %ile,90 %ile,90 %ile,0 %ile,19 %ile,14 %ile,38 %ile,28 %ile,60 %ile,57 %ile,21 %ile,16 %ile,60 %ile,58 %ile,60 %ile,49 %ile,63 %ile,58 %ile,0 %ile,0 %ile,62 %ile,60 %ile,61 %ile,55 %ile,61 %ile,55 %ile,59 %ile,56 %ile,0 %ile,0 %ile,776435,439661,0,2,0,0,0.070124368762185,1.26289756e-4
15929,11001000300,DISTRICT OF COLUMBIA,DC,District of Columbia,3,5979,5979,3993,2471,2785,3499,5979,0.912154557827683,0.707019968937729,1992,0.333166081284496,791,0.13229637063054,52,0.014861388968277,135,0.022579026593076,27,0.010926750303521,128,0.032056098171801,513,0.085800301053688,606,0.101354741595585,0.168205128205128,7.12466663934426,59.54854,0.362896990961507,100.31189125705568,4072499.718529506,2065,0.741472172351885,0.121939779059365,0,20.82776382830118,10.613889385218329,13819.672941160772,10.546784370755477,0,19.155245714381348,14.847419347692304,41.95910966007343,32.52291857113553,81.18175564666383,62.92477723545785,21.8917093878644,16.96847925450549,80.26960108883613,62.21775726652013,83.91821932014686,65.04583714227105,57.46573714314405,44.54225804307691,0,0,87.5668375514576,67.87391701802196,83.00606476231918,64.33881717333333,82.0939102044915,63.63179720439559,72.06021006838698,55.85457754608058,0,0,29,5,50,18,12,1,46,18,86,18,24,21,46,89,24,88,92,63,0,96,91,90,79,0,21,12,42,25,62,50,22,13,61,49,66,46,64,55,0,0,64,52,64,50,64,47,57,44,0,0,3,1,6,2,2,1,5,2,9,2,3,3,5,9,3,9,10,7,1,11,10,10,8,1,3,2,5,3,7,6,3,2,7,5,7,5,7,6,1,1,7,6,7,6,7,5,6,5,1,1,29 %ile,5 %ile,50 %ile,18 %ile,12 %ile,1 %ile,46 %ile,18 %ile,86 %ile,18 %ile,24 %ile,21 %ile,46 %ile,89 %ile,24 %ile,88 %ile,92 %ile,63 %ile,0 %ile,96 %ile,91 %ile,90 %ile,79 %ile,0 %ile,21 %ile,12 %ile,42 %ile,25 %ile,62 %ile,50 %ile,22 %ile,13 %ile,61 %ile,49 %ile,66 %ile,46 %ile,64 %ile,55 %ile,0 %ile,0 %ile,64 %ile,52 %ile,64 %ile,50 %ile,64 %ile,47 %ile,57 %ile,44 %ile,0 %ile,0 %ile,1042156,2305,0,0,0,0,0.041587366421279,1.08482841e-4
15930,11001000400,DISTRICT OF COLUMBIA,DC,District of Columbia,3,1652,1652,1235,660,815,813,1652,0.92653627238976,0.568710110274306,546,0.330508474576271,230,0.139225181598063,29,0.035670356703567,106,0.064164648910412,8,0.012121212121212,37,0.02995951417004,39,0.023607748184019,345,0.208837772397094,0.113846153846154,7.09773606557377,59.57816,0.357011550527891,103.90456879068776,4456994.748809924,331,0.406134969325153,0.126819461087244,0,21.658790299154845,5.284786466742348,12495.180746961527,10.225606311187464,0,18.5307254477952,11.374202205486114,42.62066852992896,26.160665072618063,82.46172824268865,50.61519981441321,22.236870537354243,13.649042646583338,83.3882645150784,51.18390992468752,64.85753906728321,39.8097077192014,59.29832143294465,36.39744705755557,0,0,89.87401842180672,55.16488069660765,75.04943806357056,46.065518932218765,82.46172824268865,50.61519981441321,70.41675670162176,43.22196838084724,0,0,30,2,50,20,38,10,48,16,12,73,1,20,46,89,24,90,70,64,0,97,81,89,76,0,20,9,42,20,63,41,22,10,62,41,55,30,64,54,0,0,65,44,61,37,64,38,57,35,0,0,4,1,6,3,4,2,5,2,2,8,1,3,5,9,3,10,8,7,1,11,9,9,8,1,3,1,5,3,7,5,3,2,7,5,6,4,7,6,1,1,7,5,7,4,7,4,6,4,1,1,30 %ile,2 %ile,50 %ile,20 %ile,38 %ile,10 %ile,48 %ile,16 %ile,12 %ile,73 %ile,1 %ile,20 %ile,46 %ile,89 %ile,24 %ile,90 %ile,70 %ile,64 %ile,0 %ile,97 %ile,81 %ile,89 %ile,76 %ile,0 %ile,20 %ile,9 %ile,42 %ile,20 %ile,63 %ile,41 %ile,22 %ile,10 %ile,62 %ile,41 %ile,55 %ile,30 %ile,64 %ile,54 %ile,0 %ile,0 %ile,65 %ile,44 %ile,61 %ile,37 %ile,64 %ile,38 %ile,57 %ile,35 %ile,0 %ile,0 %ile,1541239,69,0,0,0,0,0.059514676077543,1.60102138e-4
15931,11001000501,DISTRICT OF COLUMBIA,DC,District of Columbia,3,3594,3578,3025,2183,2539,2521,3572,1.032148865447542,0.801790113123234,1479,0.411519198664441,460,0.128563443264394,167,0.06624355414518,236,0.066069428891377,15,0.006871278057719,43,0.014214876033058,93,0.025876460767947,573,0.159432387312187,0.17025641025641,7.06522232240437,59.64071,0.353901197459407,111.1492233155393,4598523.159772694,1202,0.473414730208744,0.1371287820651,0.042885947598472,23.72349117826128,0,10718.756956778156,10.92977087788496,0,20.642977308950847,16.03580226246468,47.47884781058695,36.88234520366876,90.82910015938373,70.5575299548446,25.80372163618856,20.04475282808085,92.8933978902788,72.16111018109106,78.44331377401322,60.93604859736578,67.08967625409025,52.11635735301021,27.868019367083644,21.648333054327317,100.1184399484116,77.7736409729537,0,0,91.86124902483127,71.35932006796783,83.60405810125093,64.94499916298196,0,0,36,9,58,17,69,11,40,7,14,48,26,20,46,88,25,90,76,65,27,97,0,89,81,0,22,13,46,28,66,55,25,15,66,55,63,43,67,57,33,26,69,58,0,0,68,53,62,50,0,0,4,1,6,2,7,2,5,1,2,5,3,3,5,9,3,10,8,7,3,11,1,9,9,1,3,2,5,3,7,6,3,2,7,6,7,5,7,6,4,3,7,6,1,1,7,6,7,6,1,1,36 %ile,9 %ile,58 %ile,17 %ile,69 %ile,11 %ile,40 %ile,7 %ile,14 %ile,48 %ile,26 %ile,20 %ile,46 %ile,88 %ile,25 %ile,90 %ile,76 %ile,65 %ile,27 %ile,97 %ile,0 %ile,89 %ile,81 %ile,0 %ile,22 %ile,13 %ile,46 %ile,28 %ile,66 %ile,55 %ile,25 %ile,15 %ile,66 %ile,55 %ile,63 %ile,43 %ile,67 %ile,57 %ile,33 %ile,26 %ile,69 %ile,58 %ile,0 %ile,0 %ile,68 %ile,53 %ile,62 %ile,50 %ile,0 %ile,0 %ile,940249,29503,0,0,0,0,0.06873749431764,1.00735398e-4
15932,11001000502,DISTRICT OF COLUMBIA,DC,District of Columbia,3,3384,3384,2605,1714,1789,2290,3384,0.721835952503429,0.701999027368469,1056,0.312056737588652,254,0.075059101654846,49,0.021397379912664,187,0.055260047281324,9,0.005250875145858,43,0.016506717850288,385,0.113770685579196,485,0.143321513002364,0.168205128205128,7.07678218579235,59.7039,0.353580596611386,105.88142993115856,4214480.757651127,1594,0.891000558971492,0.12889266183648,0,23.37979933911696,0.679087082392461,10885.769059241298,10.058880653626884,0,14.436719050068582,14.039980547369378,33.92628976766117,32.993954286318036,63.521563820301765,61.77591440842526,17.3240628600823,16.84797665684325,64.24339977280519,62.47791343579373,70.73992334533605,68.79590468210995,46.197500960219465,44.92793775158201,0,0,70.01808739283263,68.09390565474148,30.317110005144023,29.48395914947569,64.24339977280519,62.47791343579373,54.137696437757185,52.64992705263517,0,0,18,5,48,7,20,7,37,8,96,39,24,20,47,88,24,89,98,64,0,97,42,89,75,0,16,11,35,25,54,49,17,13,54,49,59,48,60,55,0,0,57,53,35,24,55,47,48,42,0,0,2,1,5,1,3,1,4,1,11,4,3,3,5,9,3,9,11,7,1,11,5,9,8,1,2,2,4,3,6,5,2,2,6,5,6,5,7,6,1,1,6,6,4,3,6,5,5,5,1,1,18 %ile,5 %ile,48 %ile,7 %ile,20 %ile,7 %ile,37 %ile,8 %ile,96 %ile,39 %ile,24 %ile,20 %ile,47 %ile,88 %ile,24 %ile,89 %ile,98 %ile,64 %ile,0 %ile,97 %ile,42 %ile,89 %ile,75 %ile,0 %ile,16 %ile,11 %ile,35 %ile,25 %ile,54 %ile,49 %ile,17 %ile,13 %ile,54 %ile,49 %ile,59 %ile,48 %ile,60 %ile,55 %ile,0 %ile,0 %ile,57 %ile,53 %ile,35 %ile,24 %ile,55 %ile,47 %ile,48 %ile,42 %ile,0 %ile,0 %ile,581507,0,0,0,0,0,0.041382466082908,6.04071885e-5
15933,11001000600,DISTRICT OF COLUMBIA,DC,District of Columbia,3,4548,4384,3550,2206,2290,2632,4408,0.475245505344831,0.671815441951361,966,0.212401055408971,198,0.045164233576642,75,0.028495440729483,364,0.082577132486388,0,0,170,0.047887323943662,180,0.03957783641161,882,0.193931398416887,0.141538461538462,7.08029989071038,59.77367,0.353308636952205,102.56529153575704,3820374.4294143855,2100,0.91703056768559,0.112487825803067,0,23.583572626940683,4.528343058432176,11536.287871147104,8.979227141093963,0,9.504910106896624,13.436308839027218,22.33653875120707,31.575325771713963,41.82160447034515,59.119758891719755,11.40589212827595,16.12357060683266,41.34635896500032,58.447943449768395,47.04930502913829,66.50972875318473,29.465221331379535,41.65255740098438,0,0,46.09881401844862,65.16609786928201,37.069149416896835,52.40160447220615,42.29684997568999,59.79157433367112,30.89095784741403,43.66800372683846,0,0,6,4,35,3,28,20,0,28,30,66,8,20,47,88,24,87,99,62,0,97,78,89,65,0,11,11,23,24,42,47,11,12,41,47,43,46,56,55,0,0,44,51,40,42,40,45,33,35,0,0,1,1,4,1,3,3,1,3,4,7,1,3,5,9,3,9,11,7,1,11,8,9,7,1,2,2,3,3,5,5,2,2,5,5,5,5,6,6,1,1,5,6,5,5,5,5,4,4,1,1,6 %ile,4 %ile,35 %ile,3 %ile,28 %ile,20 %ile,0 %ile,28 %ile,30 %ile,66 %ile,8 %ile,20 %ile,47 %ile,88 %ile,24 %ile,87 %ile,99 %ile,62 %ile,0 %ile,97 %ile,78 %ile,89 %ile,65 %ile,0 %ile,11 %ile,11 %ile,23 %ile,24 %ile,42 %ile,47 %ile,11 %ile,12 %ile,41 %ile,47 %ile,43 %ile,46 %ile,56 %ile,55 %ile,0 %ile,0 %ile,44 %ile,51 %ile,40 %ile,42 %ile,40 %ile,45 %ile,33 %ile,35 %ile,0 %ile,0 %ile,1441865,71,0,1,0,0,0.054449870691177,1.498056785e-4
15934,11001000702,DISTRICT OF COLUMBIA,DC,District of Columbia,3,2921,2921,2610,2168,2476,2301,2921,1.071561503602645,0.840464233068529,1104,0.377952755905512,478,0.163642588154742,31,0.013472403302912,164,0.056145155768572,79,0.036439114391144,0,0,14,0.004792879150976,317,0.108524477918521,0.17025641025641,7.11170516393443,59.6047,0.34213050577689,98.94879217246813,3870934.683845594,1451,0.586025848142165,0.114923850647485,0,18.856351524063264,8.621201170052325,13676.821444631723,9.685546677745233,0,22.502791575655543,17.649748894439107,49.291829165721666,38.66135472115233,94.29741231703275,73.96085251003055,25.71747608646348,20.171141593644695,93.2258508134301,73.12038827696202,88.93960479901952,69.7585313446879,66.43681322336398,52.10878245024879,0,0,102.86990434585391,80.68456637457878,94.29741231703275,73.96085251003055,96.44053532423804,75.6417809761676,77.15242825939043,60.51342478093408,0,0,38,10,55,25,11,7,68,0,3,21,26,21,46,88,24,87,83,62,0,96,88,90,72,0,24,14,47,29,67,57,25,15,66,56,68,48,66,57,0,0,70,60,68,55,70,55,59,47,0,0,4,2,6,3,2,1,7,1,1,3,3,3,5,9,3,9,9,7,1,11,9,10,8,1,3,2,5,3,7,6,3,2,7,6,7,5,7,6,1,1,8,7,7,6,8,6,6,5,1,1,38 %ile,10 %ile,55 %ile,25 %ile,11 %ile,7 %ile,68 %ile,0 %ile,3 %ile,21 %ile,26 %ile,21 %ile,46 %ile,88 %ile,24 %ile,87 %ile,83 %ile,62 %ile,0 %ile,96 %ile,88 %ile,90 %ile,72 %ile,0 %ile,24 %ile,14 %ile,47 %ile,29 %ile,67 %ile,57 %ile,25 %ile,15 %ile,66 %ile,56 %ile,68 %ile,48 %ile,66 %ile,57 %ile,0 %ile,0 %ile,70 %ile,60 %ile,68 %ile,55 %ile,70 %ile,55 %ile,59 %ile,47 %ile,0 %ile,0 %ile,308967,0,0,0,0,0,0.028787321932864,3.20938695e-5
